M	P	NP	Time
16	1600	7	0.003265
16	1600	7	0.003419
16	1600	7	0.003125
16	1600	7	0.003750
16	1600	7	0.004430
16	1600	7	0.003375
16	1600	8	0.004551
16	1600	8	0.004113
16	1600	8	0.003512
16	1600	8	0.004825
16	1600	8	0.003495
16	1600	8	0.003660
16	1600	8	0.004129
16	1600	8	0.004001
16	1600	8	0.004643
16	1600	8	0.004170
16	1600	9	0.004656
16	1600	9	0.004071
16	1600	9	0.004818
16	1600	9	0.003329
16	1600	9	0.005049
16	1600	9	0.004369
16	1600	9	0.004295
16	1600	9	0.003775
16	1600	9	0.004359
16	1600	9	0.004452
16	1600	10	0.004788
16	1600	10	0.004993
16	1600	10	0.004675
16	1600	10	0.004351
16	1600	10	0.004089
16	1600	10	0.004591
16	1600	10	0.005184
16	1600	10	0.004852
16	1600	10	0.005414
16	1600	10	0.004564
16	1600	11	0.005322
16	1600	11	0.004709
16	1600	11	0.004678
16	1600	11	0.004720
16	1600	11	0.004583
16	1600	11	0.005618
16	1600	11	0.004902
16	1600	11	0.004614
16	1600	11	0.006283
16	1600	11	0.005275
16	1600	12	0.005270
16	1600	12	0.004774
16	1600	12	0.005186
16	1600	12	0.004753
16	1600	12	0.004856
16	1600	12	0.007137
16	1600	12	0.005713
16	1600	12	0.006078
16	1600	12	0.005317
16	1600	12	0.006078
16	1600	13	0.006697
16	1600	13	0.005195
16	1600	13	0.005485
16	1600	13	0.006912
16	1600	13	0.006084
16	1600	13	0.005470
16	1600	13	0.006190
16	1600	13	0.007341
16	1600	13	0.006231
16	1600	13	0.005399
16	1600	14	0.005731
16	1600	14	0.006249
16	1600	14	0.006710
16	1600	14	0.005994
16	1600	14	0.007750
16	1600	14	0.005889
16	1600	14	0.006403
16	1600	14	0.006725
16	1600	14	0.005858
16	1600	14	0.006710
16	1600	15	0.008659
16	1600	15	0.006700
16	1600	15	0.005928
16	1600	15	0.005605
16	1600	15	0.006006
16	1600	15	0.006032
16	1600	15	0.006113
16	1600	15	0.008353
16	1600	15	0.006668
16	1600	15	0.007062
16	1600	16	0.006737
16	1600	16	0.007860
16	1600	16	0.009166
16	1600	16	0.006669
16	1600	16	0.006717
16	1600	16	0.006807
16	1600	16	0.007694
16	1600	16	0.006876
16	1600	16	0.016487
16	1600	16	0.011744
160	16	1	0.000072
160	16	1	0.000072
160	16	1	0.000073
160	16	1	0.000138
160	16	1	0.000231
160	16	1	0.000083
160	16	1	0.000076
160	16	1	0.000102
160	16	1	0.000068
160	16	1	0.000068
160	16	2	0.000293
160	16	2	0.000299
160	16	2	0.000402
160	16	2	0.000365
160	16	2	0.000435
160	16	2	0.000396
160	16	2	0.000388
160	16	2	0.000429
160	16	2	0.000473
160	16	2	0.000379
160	16	3	0.000447
160	16	3	0.000419
160	16	3	0.000440
160	16	3	0.000877
160	16	3	0.000386
160	16	3	0.000382
160	16	3	0.000437
160	16	3	0.000902
160	16	3	0.000503
160	16	3	0.000784
160	16	4	0.000662
160	16	4	0.000645
160	16	4	0.000858
160	16	4	0.000888
160	16	4	0.000708
160	16	4	0.000670
160	16	4	0.000728
160	16	4	0.001516
160	16	4	0.001636
160	16	4	0.001181
160	16	5	0.001236
160	16	5	0.001148
160	16	5	0.001505
160	16	5	0.000755
160	16	5	0.000733
160	16	5	0.000911
160	16	5	0.001547
160	16	5	0.001004
160	16	5	0.000773
160	16	5	0.001180
160	16	6	0.001330
160	16	6	0.001139
160	16	6	0.001414
160	16	6	0.001069
160	16	6	0.001225
160	16	6	0.001810
160	16	6	0.001150
160	16	6	0.001142
160	16	6	0.001321
160	16	6	0.001183
160	16	7	0.001128
160	16	7	0.001366
160	16	7	0.001944
160	16	7	0.001178
160	16	7	0.001498
160	16	7	0.001488
160	16	7	0.002213
160	16	7	0.001316
160	16	7	0.002309
160	16	7	0.001211
160	16	8	0.002903
160	16	8	0.001344
160	16	8	0.001317
160	16	8	0.001712
160	16	8	0.001594
160	16	8	0.001790
160	16	8	0.001694
160	16	8	0.002395
160	16	8	0.001590
160	16	8	0.001295
160	16	9	0.001741
160	16	9	0.001255
160	16	9	0.001615
160	16	9	0.001825
160	16	9	0.002750
160	16	9	0.001557
160	16	9	0.001660
160	16	9	0.002339
160	16	9	0.002245
160	16	9	0.001582
160	16	10	0.001520
160	16	10	0.001879
160	16	10	0.001596
160	16	10	0.002004
160	16	10	0.002450
160	16	10	0.003550
160	16	10	0.001649
160	16	10	0.002246
160	16	10	0.001722
160	16	10	0.001583
160	16	11	0.001546
160	16	11	0.001566
160	16	11	0.001543
160	16	11	0.003164
160	16	11	0.002089
160	16	11	0.001611
160	16	11	0.002353
160	16	11	0.003539
160	16	11	0.001593
160	16	11	0.001604
160	16	12	0.003536
160	16	12	0.001793
160	16	12	0.003089
160	16	12	0.003709
160	16	12	0.002359
160	16	12	0.004050
160	16	12	0.002186
160	16	12	0.002124
160	16	12	0.001950
160	16	12	0.003006
160	16	13	0.004066
160	16	13	0.002849
160	16	13	0.002977
160	16	13	0.001891
160	16	13	0.002794
160	16	13	0.001909
160	16	13	0.001897
160	16	13	0.002399
160	16	13	0.002031
160	16	13	0.002021
160	16	14	0.001906
160	16	14	0.002217
160	16	14	0.003042
160	16	14	0.002201
160	16	14	0.002057
160	16	14	0.002081
160	16	14	0.002104
160	16	14	0.002458
160	16	14	0.002022
160	16	14	0.002364
160	16	15	0.002997
160	16	15	0.002395
160	16	15	0.002068
160	16	15	0.002244
160	16	15	0.002613
160	16	15	0.004023
160	16	15	0.002312
160	16	15	0.002360
160	16	15	0.001993
160	16	15	0.002686
160	16	16	0.002676
160	16	16	0.002637
160	16	16	0.004263
160	16	16	0.004366
160	16	16	0.003155
160	16	16	0.002352
160	16	16	0.002939
160	16	16	0.006037
160	16	16	0.002816
160	16	16	0.005111
160	160	1	0.000586
160	160	1	0.000512
160	160	1	0.000486
160	160	1	0.000691
160	160	1	0.000502
160	160	1	0.000501
160	160	1	0.000516
160	160	1	0.000498
160	160	1	0.000607
160	160	1	0.000542
160	160	2	0.000657
160	160	2	0.000693
160	160	2	0.000685
160	160	2	0.000663
160	160	2	0.000862
160	160	2	0.000706
160	160	2	0.000614
160	160	2	0.000734
160	160	2	0.000594
160	160	2	0.001205
160	160	3	0.000847
160	160	3	0.000953
160	160	3	0.001218
