M	P	NP	Time
160	16	8	0.001323
160	16	9	0.001956
160	16	9	0.002279
160	16	9	0.001669
160	16	9	0.002027
160	16	9	0.001456
160	16	9	0.002021
160	16	9	0.002538
160	16	9	0.000898
160	16	9	0.001919
160	16	9	0.001113
160	16	10	0.001496
160	16	10	0.001178
160	16	10	0.002618
160	16	10	0.001436
160	16	10	0.001537
160	16	10	0.000847
160	16	10	0.001920
160	16	10	0.000911
160	16	10	0.003218
160	16	10	0.001428
160	16	11	0.001431
160	16	11	0.001709
160	16	11	0.001650
160	16	11	0.001745
160	16	11	0.001867
160	16	11	0.002392
160	16	11	0.001248
160	16	11	0.003025
160	16	11	0.001559
160	16	11	0.002799
160	16	12	0.002934
160	16	12	0.001204
160	16	12	0.001643
160	16	12	0.002994
160	16	12	0.001415
160	16	12	0.003455
160	16	12	0.003075
160	16	12	0.001970
160	16	12	0.002298
160	16	12	0.002223
160	16	13	0.001962
160	16	13	0.001935
160	16	13	0.002711
160	16	13	0.001707
160	16	13	0.001237
160	16	13	0.001980
160	16	13	0.001850
160	16	13	0.002099
160	16	13	0.001624
160	16	13	0.001543
160	16	14	0.002082
160	16	14	0.001755
160	16	14	0.002851
160	16	14	0.002077
160	16	14	0.003513
160	16	14	0.003570
160	16	14	0.014977
160	16	14	0.002693
160	16	14	0.002323
160	16	14	0.001813
160	16	15	0.003060
160	16	15	0.003722
160	16	15	0.002601
160	16	15	0.002971
160	16	15	0.002706
160	16	15	0.003007
160	16	15	0.001871
160	16	15	0.001814
160	16	15	0.002325
160	16	15	0.002065
160	16	16	0.003817
160	16	16	0.003314
160	16	16	0.004037
160	16	16	0.003281
160	16	16	0.003423
160	16	16	0.003546
160	16	16	0.004112
160	16	16	0.003642
160	16	16	0.003065
160	16	16	0.006683
160	160	1	0.000436
160	160	1	0.000586
160	160	1	0.000441
160	160	1	0.000432
160	160	1	0.000463
160	160	1	0.000456
160	160	1	0.000427
160	160	1	0.000427
160	160	1	0.000405
160	160	1	0.000430
160	160	2	0.000586
160	160	2	0.000555
160	160	2	0.001016
160	160	2	0.000716
160	160	2	0.000638
160	160	2	0.000554
160	160	2	0.000791
160	160	2	0.000700
160	160	2	0.000682
160	160	2	0.000896
160	160	3	0.000981
160	160	3	0.001583
160	160	3	0.001042
160	160	3	0.000980
160	160	3	0.000547
160	160	3	0.000631
160	160	3	0.000687
160	160	3	0.001141
160	160	3	0.000615
160	160	3	0.000600
160	160	4	0.001436
160	160	4	0.000785
160	160	4	0.000817
160	160	4	0.000789
160	160	4	0.000634
160	160	4	0.000729
160	160	4	0.000758
160	160	4	0.001015
160	160	4	0.001192
160	160	4	0.002019
160	160	5	0.000917
160	160	5	0.001194
160	160	5	0.000896
160	160	5	0.001058
160	160	5	0.001282
160	160	5	0.000949
160	160	5	0.000775
160	160	5	0.001110
160	160	5	0.001723
160	160	5	0.001264
160	160	6	0.001073
160	160	6	0.001246
160	160	6	0.000936
160	160	6	0.001437
160	160	6	0.000907
160	160	6	0.000883
160	160	6	0.000952
160	160	6	0.000992
160	160	6	0.001015
160	160	6	0.000909
160	160	7	0.001323
160	160	7	0.001642
160	160	7	0.002472
160	160	7	0.001243
160	160	7	0.002485
160	160	7	0.002184
160	160	7	0.001431
160	160	7	0.001249
160	160	7	0.001271
160	160	7	0.002140
160	160	8	0.001977
160	160	8	0.002229
160	160	8	0.001136
160	160	8	0.001401
160	160	8	0.002821
160	160	8	0.001414
160	160	8	0.001888
160	160	8	0.001367
160	160	8	0.000931
160	160	8	0.001336
160	160	9	0.002994
160	160	9	0.001251
160	160	9	0.001346
160	160	9	0.001347
160	160	9	0.002032
160	160	9	0.001570
160	160	9	0.001832
160	160	9	0.002628
160	160	9	0.002059
160	160	9	0.001690
160	160	10	0.001685
160	160	10	0.002315
160	160	10	0.001632
160	160	10	0.002618
160	160	10	0.001762
160	160	10	0.001761
160	160	10	0.002933
160	160	10	0.002942
160	160	10	0.002646
160	160	10	0.001546
160	160	11	0.001770
160	160	11	0.002659
160	160	11	0.003050
160	160	11	0.003664
160	160	11	0.001458
160	160	11	0.001666
160	160	11	0.002691
160	160	11	0.002660
160	160	11	0.003020
160	160	11	0.002223
160	160	12	0.002689
160	160	12	0.001944
160	160	12	0.004711
160	160	12	0.001947
160	160	12	0.002331
160	160	12	0.002734
160	160	12	0.001988
160	160	12	0.003219
160	160	12	0.003935
160	160	12	0.002674
160	160	13	0.002168
160	160	13	0.003371
160	160	13	0.002314
160	160	13	0.002899
160	160	13	0.003442
160	160	13	0.001927
160	160	13	0.002326
160	160	13	0.002247
160	160	13	0.004315
160	160	13	0.001773
160	160	14	0.004048
160	160	14	0.002136
160	160	14	0.002653
160	160	14	0.002358
160	160	14	0.002021
160	160	14	0.002415
160	160	14	0.002205
160	160	14	0.002640
160	160	14	0.003187
160	160	14	0.002254
160	160	15	0.002512
160	160	15	0.001552
160	160	15	0.003693
160	160	15	0.003472
160	160	15	0.002697
160	160	15	0.001395
160	160	15	0.003199
160	160	15	0.003116
160	160	15	0.003135
160	160	15	0.002844
160	160	16	0.004967
160	160	16	0.003833
160	160	16	0.003134
160	160	16	0.006411
160	160	16	0.005980
160	160	16	0.003228
160	160	16	0.003672
160	160	16	0.003156
160	160	16	0.003814
160	160	16	0.004528
160	1600	1	0.004450
160	1600	1	0.004695
160	1600	1	0.004980
160	1600	1	0.005461
160	1600	1	0.004739
160	1600	1	0.005102
160	1600	1	0.005280
160	1600	1	0.004597
160	1600	1	0.004870
160	1600	1	0.004742
160	1600	2	0.003381
160	1600	2	0.003505
160	1600	2	0.003359
160	1600	2	0.003556
160	1600	2	0.003162
160	1600	2	0.003763
160	1600	2	0.003036
160	1600	2	0.003424
160	1600	2	0.003464
160	1600	2	0.003016
160	1600	3	0.002913
160	1600	3	0.004207
160	1600	3	0.003327
160	1600	3	0.002757
160	1600	3	0.003192
160	1600	3	0.002860
160	1600	3	0.004709
160	1600	3	0.002968
160	1600	3	0.003613
160	1600	3	0.003649
160	1600	4	0.003197
160	1600	4	0.002955
160	1600	4	0.003432
160	1600	4	0.003449
160	1600	4	0.003827
160	1600	4	0.002758
160	1600	4	0.003041
160	1600	4	0.003909
160	1600	4	0.003591
160	1600	4	0.003070
160	1600	5	0.002853
160	1600	5	0.003108
160	1600	5	0.003605
160	1600	5	0.003107
160	1600	5	0.003645
160	1600	5	0.003987
160	1600	5	0.004191
160	1600	5	0.003955
160	1600	5	0.003735
160	1600	5	0.003332
160	1600	6	0.003560
160	1600	6	0.003596
160	1600	6	0.004647
160	1600	6	0.004109
160	1600	6	0.003945
160	1600	6	0.003970
160	1600	6	0.004549
160	1600	6	0.004413
160	1600	6	0.003846
160	1600	6	0.003670
160	1600	7	0.005187
160	1600	7	0.003767
160	1600	7	0.004730
160	1600	7	0.010719
160	1600	7	0.004181
160	1600	7	0.005124
160	1600	7	0.004910
160	1600	7	0.003982
160	1600	7	0.003963
160	1600	7	0.004785
160	1600	8	0.003803
160	1600	8	0.004186
160	1600	8	0.004021
160	1600	8	0.004708
160	1600	8	0.004512
160	1600	8	0.004424
160	1600	8	0.004155
160	1600	8	0.003568
160	1600	8	0.005032
160	1600	8	0.003922
160	1600	9	0.004822
160	1600	9	0.004924
160	1600	9	0.004725
160	1600	9	0.004497
160	1600	9	0.004255
160	1600	9	0.005291
160	1600	9	0.004392
160	1600	9	0.003789
160	1600	9	0.004680
160	1600	9	0.004511
160	1600	10	0.005685
160	1600	10	0.005574
160	1600	10	0.004296
160	1600	10	0.004350
160	1600	10	0.005503
160	1600	10	0.004522
160	1600	10	0.004198
160	1600	10	0.004520
160	1600	10	0.005529
160	1600	10	0.005171
160	1600	11	0.004792
160	1600	11	0.005078
160	1600	11	0.005055
160	1600	11	0.005099
160	1600	11	0.004929
160	1600	11	0.005065
160	1600	11	0.004858
160	1600	11	0.005279
160	1600	11	0.005004
160	1600	11	0.005630
160	1600	12	0.005319
160	1600	12	0.006316
160	1600	12	0.005744
160	1600	12	0.005076
160	1600	12	0.006529
160	1600	12	0.005368
160	1600	12	0.005547
160	1600	12	0.004956
160	1600	12	0.005085
160	1600	12	0.005005
160	1600	13	0.006284
160	1600	13	0.006779
160	1600	13	0.006870
160	1600	13	0.005320
160	1600	13	0.005071
160	1600	13	0.007292
160	1600	13	0.007698
160	1600	13	0.006515
160	1600	13	0.005373
160	1600	13	0.006607
160	1600	14	0.006292
160	1600	14	0.006150
160	1600	14	0.005663
160	1600	14	0.007000
160	1600	14	0.006414
160	1600	14	0.005973
160	1600	14	0.005831
160	1600	14	0.006310
160	1600	14	0.005696
160	1600	14	0.006074
160	1600	15	0.006543
160	1600	15	0.006855
160	1600	15	0.006847
160	1600	15	0.007626
160	1600	15	0.006647
160	1600	15	0.007859
160	1600	15	0.006545
160	1600	15	0.007403
160	1600	15	0.006495
160	1600	15	0.006351
160	1600	16	0.009772
160	1600	16	0.012102
160	1600	16	0.007578
160	1600	16	0.007059
160	1600	16	0.008466
160	1600	16	0.008109
160	1600	16	0.010006
160	1600	16	0.008738
160	1600	16	0.009993
160	1600	16	0.008011
1600	16	1	0.000478
1600	16	1	0.000441
1600	16	1	0.000426
1600	16	1	0.000421
1600	16	1	0.000417
1600	16	1	0.000416
1600	16	1	0.000539
1600	16	1	0.000424
1600	16	1	0.000490
1600	16	1	0.000434
1600	16	2	0.000623
1600	16	2	0.000854
1600	16	2	0.000578
1600	16	2	0.000893
1600	16	2	0.000735
1600	16	2	0.000670
1600	16	2	0.000653
1600	16	2	0.000488
1600	16	2	0.000501
1600	16	2	0.000489
1600	16	3	0.000773
1600	16	3	0.000519
1600	16	3	0.000447
1600	16	3	0.000605
1600	16	3	0.000523
1600	16	3	0.000655
1600	16	3	0.000571
1600	16	3	0.000514
1600	16	3	0.000486
1600	16	3	0.000964
1600	16	4	0.000909
1600	16	4	0.000517
1600	16	4	0.001184
1600	16	4	0.000733
